team,cs2team,cse3score,cse2score,cse1score,id,newColumn,rankSE3,rankSE2,rankSE1,cse3scoreMax,cse3scoreMin,cse2scoreMax,cse2scoreMin,cse1scoreMax,cse1scoreMin,MeanRankingSE2_3,coefficient
1,45,87,91,60,141250080,4587,45,25,189,87.0,87.0,93.0,91.0,99.0,60.0
1,26,87,92,99,141250106,2687,45,18,1,87.0,87.0,93.0,91.0,99.0,60.0,9.0,20.25
1,38,87,93,87,141250107,3887,45,14,48,87.0,87.0,93.0,91.0,99.0,60.0,9.0,35.75
1,38,87,92,86,141250108,3887,45,18,53,87.0,87.0,93.0,91.0,99.0,60.0,13.5,Infinity
2,0,0,0,0,131250023,00,207,212,212,71.0,0.0,72.0,0.0,60.0,0.0,13.5,Infinity
2,47,65,63,60,141250142,4765,194,200,189,71.0,0.0,72.0,0.0,60.0,0.0,13.5,Infinity
2,47,68,72,60,141250151,4768,190,187,189,71.0,0.0,72.0,0.0,60.0,0.0,13.5,Infinity
2,47,71,64,60,141250155,4771,185,199,189,71.0,0.0,72.0,0.0,60.0,0.0,13.5,Infinity
3,10,83,0,0,131090140,1083,80,212,212,83.0,83.0,85.0,0.0,85.0,0.0,13.5,Infinity
3,10,83,85,85,141250071,1083,80,84,58,83.0,83.0,85.0,0.0,85.0,0.0,13.5,Infinity
3,10,83,79,82,141250073,1083,80,152,84,83.0,83.0,85.0,0.0,85.0,0.0,13.5,Infinity
3,10,83,81,85,141250067,1083,80,131,58,83.0,83.0,85.0,0.0,85.0,0.0,13.5,Infinity
4,16,93,95,95,141250007,1693,1,5,4,93.0,93.0,95.0,91.0,95.0,82.0,13.5,Infinity
4,16,93,94,92,141250012,1693,1,9,15,93.0,93.0,95.0,91.0,95.0,82.0,13.5,Infinity
4,16,93,93,91,141250013,1693,1,14,19,93.0,93.0,95.0,91.0,95.0,82.0,13.5,Infinity
4,16,93,91,82,141250008,1693,1,25,84,93.0,93.0,95.0,91.0,95.0,82.0,13.5,Infinity
5,8,86.5,91,94,141250095,886.5,57,25,8,86.5,86.5,98.0,86.0,95.0,84.0,13.5,Infinity
5,31,86.5,98,95,141250148,3186.5,57,1,4,86.5,86.5,98.0,86.0,95.0,84.0,13.5,Infinity
5,29,86.5,86,84,141250164,2986.5,57,66,66,86.5,86.5,98.0,86.0,95.0,84.0,13.5,Infinity
5,49,86.5,96,92,141250177,4986.5,57,3,15,86.5,86.5,98.0,86.0,95.0,84.0,13.5,Infinity
6,21,82.5,83,72,141250166,2182.5,97,105,152,82.5,82.5,83.0,74.0,79.0,68.0,13.5,Infinity
6,21,82.5,74,68,141250167,2182.5,97,174,168,82.5,82.5,83.0,74.0,79.0,68.0,13.5,Infinity
6,21,82.5,83,79,141250144,2182.5,97,105,112,82.5,82.5,83.0,74.0,79.0,68.0,13.5,Infinity
6,21,82.5,81,71,141250156,2182.5,97,131,155,82.5,82.5,83.0,74.0,79.0,68.0,13.5,Infinity
7,32,73.5,82,15,141250183,3273.5,176,122,211,77.0,73.5,89.0,74.0,79.0,15.0,13.5,Infinity
7,32,74,74,77,141250160,3274,174,174,124,77.0,73.5,89.0,74.0,79.0,15.0,13.5,Infinity
7,32,74,89,79,141250157,3274,174,44,112,77.0,73.5,89.0,74.0,79.0,15.0,13.5,Infinity
7,32,77,83,79,141250127,3277,149,105,112,77.0,73.5,89.0,74.0,79.0,15.0,13.5,Infinity
8,5,67,67,61,141250086,567,191,195,186,67.0,67.0,77.0,67.0,75.0,61.0,13.5,Infinity
8,5,67,77,75,141250087,567,191,159,140,67.0,67.0,77.0,67.0,75.0,61.0,13.5,Infinity
8,5,67,73,66,141250088,567,191,181,172,67.0,67.0,77.0,67.0,75.0,61.0,13.5,Infinity
9,23,78.5,94,94,141250161,2378.5,133,9,8,78.5,78.5,94.0,67.0,96.0,64.0,13.5,Infinity
9,14,78.5,67,64,141250116,1478.5,133,195,179,78.5,78.5,94.0,67.0,96.0,64.0,13.5,Infinity
9,45,78.5,94,96,141250146,4578.5,133,9,2,78.5,78.5,94.0,67.0,96.0,64.0,13.5,Infinity
9,17,78.5,74,75,141250159,1778.5,133,174,140,78.5,78.5,94.0,67.0,96.0,64.0,13.5,Infinity
10,14,80,71,84,141250096,1480,129,191,66,80.0,80.0,84.0,70.0,85.0,76.0,13.5,Infinity
10,15,80,81,80,141250022,1580,129,131,103,80.0,80.0,84.0,70.0,85.0,76.0,13.5,Infinity
10,50,80,84,85,141250133,5080,129,94,58,80.0,80.0,84.0,70.0,85.0,76.0,13.5,Infinity
10,6,80,70,76,141250048,680,129,192,131,80.0,80.0,84.0,70.0,85.0,76.0,13.5,Infinity
11,24,76.5,84,82,141250209,2476.5,158,94,84,76.5,76.5,87.0,76.0,82.0,69.0,13.5,Infinity
11,46,76.5,76,69,141250184,4676.5,158,165,162,76.5,76.5,87.0,76.0,82.0,69.0,13.5,Infinity
